Year,G,AG,ARI,ATH,IAB,ATL,AC,BBS,BEG,BAL,BLA,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CG,CLE,CHT,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
1920,154,,,48,,62,,,,76,,,72,,43,75,5,96,82,,,,,,,98,,,,,,,,,,,35,16,37,,61,,,,,,44,,,,,44,,,,93,,,,,,68,,,,,,,95,,,,,,62,,,,,79,,,86,,75,32,,,,,,,,,,
1919,140,,,36,,57,,,,67,,,66,,,75,,88,96,,,,,,,84,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,69,,,,,,56,,,,,,,80,,,,,,47,,,,,71,,,87,,54,,,,,,,,,,,
1918,129,,,52,,53,,,,58,,,75,,,84,,57,68,,,,,,,73,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,57,,,,,,72,,,,,,,60,,,,,,55,,,,,65,,,71,,51,,,,,,,,,,,
1917,154,,,55,,72,,,,57,,,90,,,74,,100,78,,,,,,,88,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,70,,,,,,74,,,,,,,71,,,,,,87,,,,,51,,,98,,82,,,,,,,,,,,
1916,154,,,36,,89,,,,79,,,91,,,67,,89,60,,,,,,,77,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,94,,,,,,76,,,,,,,80,,,,,,91,,,,,65,,,86,,60,,,,,,,,,,,
1915,154,,,43,,83,,,,63,,,101,,,73,,93,71,,,,,,,57,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,80,,,,,,85,,,,,,,69,,,,,,90,,,,,73,,,69,,72,,,,,,,,,,,
1914,154,,,99,,94,,,,71,,,91,,,78,,70,60,,,,,,,51,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,75,,,,,,81,,,,,,,70,,,,,,74,,,,,69,,,84,,81,,,,,,,,,,,
1913,154,,,96,,69,,,,57,,,79,,,88,,78,64,,,,,,,86,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,65,,,,,,90,,,,,,,57,,,,,,88,,,,,78,,,101,,51,,,,,,,,,,,
1912,154,,,90,,52,,,,53,,,105,,,91,,78,75,,,,,,,75,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,58,,,,,,91,,,,,,,50,,,,,,73,,,,,93,,,103,,63,,,,,,,,,,,
1911,154,,,101,,44,,,,45,,,78,,,92,,77,70,,,,,,,80,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,64,,,,,,64,,,,,,,76,,,,,,79,,,,,85,,,99,,75,,,,,,,,,,,
1910,154,,,102,,53,,,,47,,,81,,,104,,68,75,,,,,,,71,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,64,,,,,,66,,,,,,,88,,,,,,78,,,,,86,,,91,,63,,,,,,,,,,,
1909,153,,,95,,45,,,,61,,,88,,,104,,78,77,,,,,,,71,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,55,,,,,,42,,,,,,,74,,,,,,74,,,,,110,,,92,,54,,,,,,,,,,,
1908,154,,,68,,63,,,,83,,,75,,,99,,88,73,,,,,,,90,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,53,,,,,,67,,,,,,,51,,,,,,83,,,,,98,,,98,,49,,,,,,,,,,,
1907,154,,,88,,58,,,,69,,,59,,,107,,87,66,,,,,,,85,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,65,,,,,,49,,,,,,,70,,,,,,83,,,,,91,,,82,,52,,,,,,,,,,,
1906,154,,,78,,49,,,,76,,,49,,,116,,93,64,,,,,,,89,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,66,,,,,,55,,,,,,,90,,,,,,71,,,,,93,,,96,,52,,,,,,,,,,,
1905,154,,,92,,51,,,,54,,,78,,,92,,92,79,,,,,,,76,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,48,,,,,,64,,,,,,,71,,,,,,83,,,,,96,,,105,,58,,,,,,,,,,,
1904,154,,,81,,55,,,,65,,,95,,,93,,89,88,,,,,,,86,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,56,,,,,,38,,,,,,,92,,,,,,52,,,,,87,,,106,,75,,,,,,,,,,,
1903,140,,,75,,58,,,,65,,,91,,,82,,60,74,,,,,,,77,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,70,,,,,,43,,,,,,,72,,,,,,49,,,,,91,,,84,,43,,,,,,,,,,,
1902,140,,,83,,73,,,,78,50,,77,,,68,,74,70,,,,,,,69,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,75,,,,,,61,,,,,,,,,,,,,56,,,,,103,,,48,,56,,,,,,,,,,,
1901,140,,,74,,69,,,,48,68,,79,,,53,,83,52,,,,,,,54,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,79,,,,,,61,,,,,,,,,,,,,83,,,,,90,,,52,,76,,,,,,,,,,,
